,tic,ra,dec,teff,plx,rstar,mstar,tmag,age,assoc,ref,rms
1080,200587402,83.33684,9.96803,4079.0,2.88055,0.967938,0.64,13.9272,,OSFC,roquette25,
1081,436158927,84.06836,9.99019,5275.0,1.41201,5.30267,,10.7352,,OSFC,roquette25,0.0005382416528204592
1082,436098613,83.833125,10.043594444444444,3972.0,2.54078,1.17483,0.619,14.1216,,OSFC,roquette25,
1083,436008582,83.68608333333333,9.899305555555555,4215.0,0.212146,17.1896,,13.2165,,OSFC,roquette25,0.002002242229098977
1084,436162477,83.87677,9.60187,,,,,15.2464,,OSFC,roquette25,
1085,302830849,83.029975,11.901261111111111,3761.0,2.60997,1.0968,0.57,14.2476,,OSFC,roquette25,
1086,436153907,84.07745833333334,9.752525,5107.57,2.45687,1.4606,0.86,12.2951,,OSFC,roquette25,0.0029106999373326725
1087,436159892,83.86633,10.203900337219238,3237.0,2.28074,0.625092,0.608096,15.8932,,OSFC,roquette25,
1088,436008540,83.5398,9.78559,4801.43,0.328768,11.5475,,12.5981,,OSFC,roquette25,
1089,200518413,82.99585833333335,10.553886111111112,3409.0,2.59735,1.11005,0.41,14.7666,,OSFC,roquette25,
1090,200639493,85.85309166666667,9.102394444444442,4378.0,2.15501,2.41557,,12.0506,,OSFC,roquette25,
1091,200517861,82.99693333333335,11.179502777777778,,,,,14.9633,,OSFC,roquette25,
1092,302671919,82.519867,12.21927,3462.0,2.39126,0.845593,0.438,15.6085,,OSFC,roquette25,
1093,426186091,83.41556,10.24466,3377.0,4.1594,0.384774,0.374194,15.6661,,OSFC,roquette25,
1094,156143838,86.1081875,9.116836111,4136.38,2.45259,1.89691,,12.6794,,OSFC,roquette25,0.001684262630269051
1095,436105231,83.85673,10.1835,3617.0,2.56129,1.11911,0.516,14.6819,,OSFC,roquette25,
1096,436013418,83.56044,10.18149,4796.67,0.255764,9.90399,,13.3493,,OSFC,roquette25,
1097,200512302,82.574488,12.065439,,,,,15.241,,OSFC,roquette25,
1098,467620658,79.517049,7.091935,,,,,13.8816,,OSFC,roquette25,
1099,435934744,83.44557,10.14068,5175.16,0.540866,9.27826,,11.571,,OSFC,roquette25,0.0005724816746161682
1100,200587849,83.321726,10.598067,3743.0,2.56036,1.02234,0.56,14.5044,,OSFC,roquette25,
1101,144545726,84.521007,9.962899,2979.0,2.31541,0.641935,0.621047,16.0104,,OSFC,roquette25,
1102,436334619,84.23225,10.06029987335205,3304.0,2.35108,1.23878,,15.2558,,OSFC,roquette25,
1103,436331727,84.24161,9.89233,3962.0,2.497,1.17188,0.62,14.1729,,OSFC,roquette25,
1104,302830398,82.99361250000001,12.379847222222224,3846.0,2.45103,2.11288,,13.5111,,OSFC,roquette25,0.005007789001994986
1105,436248397,84.21941666666667,9.882383333333332,3623.0,2.35411,1.45136,,14.3285,,OSFC,roquette25,
1106,436103238,83.85014,9.74897,5068.0,1.20571,2.41721,,12.9394,,OSFC,roquette25,0.001660441729026893
1107,436098568,83.82158333333334,9.853325,3860.0,2.60237,1.03269,0.59,14.4225,,OSFC,roquette25,
1108,284199776,84.35570833333335,9.895822222222222,,,,,14.1816,,OSFC,roquette25,
1109,200525375,83.08914185,9.835398674,4147.5,2.39097,1.41029,,13.5424,,OSFC,roquette25,0.0028843883587327535
1110,436013342,83.51459,9.92584,4773.43,0.539425,11.7421,,11.6636,,OSFC,roquette25,
1111,436243744,84.16007,10.02388,5587.64,1.25504,2.03597,0.99,12.7889,,OSFC,roquette25,0.0013174828674347022
1112,436100566,83.83975000000001,9.891388888888889,3342.0,,0.579028,0.570631,16.2349,,OSFC,roquette25,
1113,436098514,83.80018,9.65536,4564.79,,0.657399,,12.595,,OSFC,roquette25,0.0016224353324550966
